 Total Nb of available Diagnostics: ndiagt=   214
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |TOTSTEND| 32 |       |SMR     MR|psu/day         |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 32 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 32 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 32 |       |SMR     MR|psu/s           |Salinity forcing tendency
   103 |AB_gT   | 32 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 32 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 32 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 32 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 32 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 32 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH | 32 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH | 32 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH | 32 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH | 32 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH | 32 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH | 32 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH | 32 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |SM_x_TH | 32 |   117 |UM      MR|degC            |Pot.Temp.   1rst Order Moment Sx
   117 |SM_y_TH | 32 |   116 |VM      MR|degC            |Pot.Temp.   1rst Order Moment Sy
   118 |SM_z_TH | 32 |       |SM      MR|degC            |Pot.Temp.   1rst Order Moment Sz
   119 |SMxx_TH | 32 |   120 |UM      MR|degC            |Pot.Temp.   2nd Order Moment Sxx
   120 |SMyy_TH | 32 |   119 |VM      MR|degC            |Pot.Temp.   2nd Order Moment Syy
   121 |SMzz_TH | 32 |       |SM      MR|degC            |Pot.Temp.   2nd Order Moment Szz
   122 |SMxy_TH | 32 |       |SM      MR|degC            |Pot.Temp.   2nd Order Moment Sxy
   123 |SMxz_TH | 32 |   124 |UM      MR|degC            |Pot.Temp.   2nd Order Moment Sxz
   124 |SMyz_TH | 32 |   123 |VM      MR|degC            |Pot.Temp.   2nd Order Moment Syz
   125 |SM_v_TH | 32 |       |SM P    MR|(degC)^2        |Pot.Temp.   sub-grid variance
   126 |ADVr_SLT| 32 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   127 |ADVx_SLT| 32 |   128 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   128 |ADVy_SLT| 32 |   127 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   129 |DFrE_SLT| 32 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   130 |DFxE_SLT| 32 |   131 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   131 |DFyE_SLT| 32 |   130 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   132 |DFrI_SLT| 32 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   133 |SALTFILL| 32 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   134 |SM_x_SLT| 32 |   135 |UM      MR|psu             |Salinity    1rst Order Moment Sx
   135 |SM_y_SLT| 32 |   134 |VM      MR|psu             |Salinity    1rst Order Moment Sy
   136 |SM_z_SLT| 32 |       |SM      MR|psu             |Salinity    1rst Order Moment Sz
   137 |SMxx_SLT| 32 |   138 |UM      MR|psu             |Salinity    2nd Order Moment Sxx
   138 |SMyy_SLT| 32 |   137 |VM      MR|psu             |Salinity    2nd Order Moment Syy
   139 |SMzz_SLT| 32 |       |SM      MR|psu             |Salinity    2nd Order Moment Szz
   140 |SMxy_SLT| 32 |       |SM      MR|psu             |Salinity    2nd Order Moment Sxy
   141 |SMxz_SLT| 32 |   142 |UM      MR|psu             |Salinity    2nd Order Moment Sxz
   142 |SMyz_SLT| 32 |   141 |VM      MR|psu             |Salinity    2nd Order Moment Syz
   143 |SM_v_SLT| 32 |       |SM P    MR|(psu)^2         |Salinity    sub-grid variance
   144 |VISCAHZ | 32 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   145 |VISCA4Z | 32 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   146 |VISCAHD | 32 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   147 |VISCA4D | 32 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   148 |VISCAHW | 32 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   149 |VISCA4W | 32 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   150 |VAHZMAX | 32 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   151 |VA4ZMAX | 32 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   152 |VAHDMAX | 32 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   153 |VA4DMAX | 32 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   154 |VAHZMIN | 32 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   155 |VA4ZMIN | 32 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   156 |VAHDMIN | 32 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   157 |VA4DMIN | 32 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   158 |VAHZLTH | 32 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   159 |VA4ZLTH | 32 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   160 |VAHDLTH | 32 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   161 |VA4DLTH | 32 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   162 |VAHZLTHD| 32 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   163 |VA4ZLTHD| 32 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   164 |VAHDLTHD| 32 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   165 |VA4DLTHD| 32 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   166 |VAHZSMAG| 32 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   167 |VA4ZSMAG| 32 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   168 |VAHDSMAG| 32 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   169 |VA4DSMAG| 32 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   170 |momKE   | 32 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   171 |momHDiv | 32 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   172 |momVort3| 32 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   173 |Strain  | 32 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   174 |Tension | 32 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   175 |UBotDrag| 32 |   176 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   176 |VBotDrag| 32 |   175 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   177 |USidDrag| 32 |   178 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   178 |VSidDrag| 32 |   177 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   179 |Um_Diss | 32 |   180 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   180 |Vm_Diss | 32 |   179 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   181 |Um_Advec| 32 |   182 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   182 |Vm_Advec| 32 |   181 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   183 |Um_Cori | 32 |   184 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   184 |Vm_Cori | 32 |   183 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   185 |Um_dPHdx| 32 |   186 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   186 |Vm_dPHdy| 32 |   185 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   187 |Um_Ext  | 32 |   188 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   188 |Vm_Ext  | 32 |   187 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   189 |Um_AdvZ3| 32 |   190 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   190 |Vm_AdvZ3| 32 |   189 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   191 |Um_AdvRe| 32 |   192 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   192 |Vm_AdvRe| 32 |   191 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   193 |ADVx_Um | 32 |   194 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   194 |ADVy_Um | 32 |   193 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   195 |ADVrE_Um| 32 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   196 |ADVx_Vm | 32 |   197 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   197 |ADVy_Vm | 32 |   196 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   198 |ADVrE_Vm| 32 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   199 |VISCx_Um| 32 |   200 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |VISCy_Um| 32 |   199 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   201 |VISrE_Um| 32 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   202 |VISrI_Um| 32 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   203 |VISCx_Vm| 32 |   204 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   204 |VISCy_Vm| 32 |   203 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   205 |VISrE_Vm| 32 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   206 |VISrI_Vm| 32 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   207 |LaUH1TH | 49 |   208 |UU      MX|m.m/s           |Layer Integrated  zonal Transport (UH, m^2/s)
   208 |LaVH1TH | 49 |   207 |VV      MX|m.m/s           |Layer Integrated merid. Transport (VH, m^2/s)
   209 |LaHw1TH | 49 |   210 |SU      MX|m               |Layer Thickness at U points (m)
   210 |LaHs1TH | 49 |   209 |SV      MX|m               |Layer Thickness at V points (m)
   211 |LaPw1TH | 49 |   212 |SU      MX|1               |Layer Probability at U points [-]
   212 |LaPs1TH | 49 |   211 |SV      MX|1               |Layer Probability at V points [-]
   213 |LaUa1TH | 49 |   214 |UU      MX|m/s             |Layer-averaged U velocity (non-weighted) (m/s)
   214 |LaVa1TH | 49 |   213 |VV      MX|m/s             |Layer-averaged V velocity (non-weighted) (m/s)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
